"","Experiment.Name","SITE","Myc","N","Biome","System.Type","Source.Reference","yi","vi"
"105","Brandjberg_c","CLIMAITE","AM","Nlow","Shrubland","Scrubland","Kongstad et al 2011, Andresen et al 2009 and 2010. Inger Kappel Schmidt & Klaus Larsen emails. Ask for data",0.0773332034031703,0.0304365525074216
"106","Brandjberg_c","CLIMAITE_d","AM","Nlow","Shrubland","Scrubland","Kongstad et al 2011, Andresen et al 2009 and 2010. Inger Kappel Schmidt & Klaus Larsen emails. Ask for data",0.107245530353598,0.041182950810426
"107","Glendevon","Glendevon","ECM","Nlow","Temperate_Forest","Tree Stand","Dieleman et al. 2012; More in Baig et al.",0.32075358541748,0.110705177803624
"108","Gunnarsholt","Gunnarsholt","ECM","Nhigh","Boreal_Forest","Tree Stand","Sigurdsson et al, 2001",0.362664873575803,0.0576538348777718
"109","Gunnarsholt","Gunnarsholt","ECM","Nlow","Boreal_Forest","Tree Stand","Sigurdsson et al, 2001",-0.0865925288159671,0.0625171635976251
"110",NA,"Hohenheim","AM","Nhigh","Cropland","Agricultural","Hogy et al. 2010",0.0980939737455964,0.0196287678287489
"111",NA,"Jasper_FACEp","AM","Nhigh","Grassland","Grassland","Zhu et al. 2016",0.0896644896107534,0.0107919020018491
"112",NA,"Jasper_FACEp","AM","Nlow","Grassland","Grassland","Zhu et al. 2016",0.0870304143611104,0.0106637195366588
"113",NA,"Jasper_FACEw","AM","Nhigh","Grassland","Grassland","Zhu et al. 2016",0.0104797695831173,0.00532585418922379
"114",NA,"Jasper_FACEw","AM","Nlow","Grassland","Grassland","Zhu et al. 2016",-0.112243656597774,0.00640531942747604
"115",NA,"Jasper_FACEwp","AM","Nhigh","Grassland","Grassland","Zhu et al. 2016",0.0421690447084452,0.0109330339116207
"116",NA,"Jasper_FACEwp","AM","Nlow","Grassland","Grassland","Zhu et al. 2016",0.0240446202897549,0.0118341011360975
"117","MI_c","Merrit_Island","ECM","Nlow","Temperate_Forest","Tree Stand","Hungate et al. 2013",0.51290512543514,0.0131652117394448
"118","Nevada_Desert","Nevada_pooled","AM","Nlow","Shrubland","Scrubland","Smith et al. 2014",-0.0840831172105414,0.0367011830102851
"119",NA,"PopFACEII","ECM","Nhigh","Temperate_Forest","Tree Stand","Liberloo et al. 2006",0.186308318839249,0.00947904166717649
"120",NA,"PopFACEII","ECM","Nhigh","Temperate_Forest","Tree Stand","Liberloo et al. 2006",0.147936083867325,0.00813569411386797
"121",NA,"PopFACEII","ECM","Nhigh","Temperate_Forest","Tree Stand","Liberloo et al. 2006",0.243792477087184,0.00444289889858652
"122","RNL2_c","RNL_Denmark_fieldgungi","AM","Nhigh","Cropland","Agricultural","Gavito et al., 2003",0.188085566300987,0.0483552424390791
"123","Sapporo - brown soil","Sapporo - brown soil","ECM","Nhigh","Temperate_Forest","Tree Stand","Watanabe et al. 2016",0.625169403695832,0.0673007030900184
"124","Sapporo - brown soil","Sapporo - brown soil","ECM","Nhigh","Temperate_Forest","Tree Stand","unpublished",0.452084019082201,0.0479904102357951
"125","Sapporo - brown soil","Sapporo - brown soil","AM","Nhigh","Temperate_Forest","Tree Stand","Watanabe et al. 2016",0.166741802016446,0.245898616865138
"126","Sapporo - brown soil","Sapporo - brown soil","ECM","Nhigh","Temperate_Forest","Tree Stand","Watanabe et al. 2016",0.217836235313289,0.240046081413733
"127","Sapporo - brown soil","Sapporo - brown soil","ECM","Nhigh","Temperate_Forest","Tree Stand","unpublished",0.371563556432483,0.0677104429156067
"128","Sapporo - volcanic ash","Sapporo - volcanic ash","ECM","Nlow","Temperate_Forest","Tree Stand","unpublished",-0.125065005463303,0.0722951145386066
"129","Sapporo - volcanic ash","Sapporo - volcanic ash","ECM","Nlow","Temperate_Forest","Tree Stand","unpublished",0.257562239967863,0.0854876701692962
"130","Suonenjoki2_bp80_c","Suonenjoki","ECM","Nhigh","Boreal_Forest","Tree Stand","Riikonen et al., 2004",-0.00246305543239786,0.0496806959944248
"131","Suonenjoki2_bp80_c","Suonenjoki","ECM","Nhigh","Boreal_Forest","Tree Stand","Riikonen et al., 2004",0.325552346507191,0.022478393723115
"132","Tsukuba FACE","Tsukuba FACE","AM","Nhigh","Cropland","Agricultural","Usui et al. 2016",0.131290076781509,0.0122486055078648
"133","MBS_pe_cf","UMBS","ECM","Nhigh","Temperate_Forest","Tree Stand","Pregitzer et al., 1995",0.381240606108843,0.0521209786580004
"134","MBS_pe_c","UMBS","ECM","Nlow","Temperate_Forest","Tree Stand","Pregitzer et al., 1995",0.19337350462531,0.282298667080106
"135","MBS_pg_c","UMBS","ECM","Nhigh","Temperate_Forest","Tree Stand","Zak et al., 1993",0.0408803528990759,0.0151428845076692
"136","MBS_pt_cf","UMBS","ECM","Nhigh","Temperate_Forest","Tree Stand","Mikan et al., 2000",0.321815078821239,0.00992945920656693
"137","MBS_pt_c","UMBS","ECM","Nlow","Temperate_Forest","Tree Stand","Mikan et al., 2000",0.307642815014319,0.0145544965304081
"138","USDA_citrus_c","USDA_citrus_Pooled","AM","Nhigh","Cropland","Tree Stand","Kimball et al., 2007",0.408328064934477,0.00270031470358796
