"","Overall"
"Ecosystem.type",3.91543806415601
"Symbiotic.type",47.6234675676686
"Effect.biomass",100
"Experiment.type",5.0597477027338
"Disturbance",0
"Nitrogen.fertilization",41.5182943245928
"Cstock",79.0287660453714
"Soil.depth",21.789226736546
"LAImax",28.3768863063856
"MAP",17.2759768967778
"MAT",7.53320933186004
