Site,Cplant,Cabove,Csoil,SE.plant,SE.above,SE.soil,biomass,soil,var
DUKE,0.106221546,0.099718638,0.021569011,0.020990081,0.0192434,0.00521421,0.189653473,-0.031927595,0.011904674
KSCO,0.267976385,0.30670076,0.130463145,0.080069953,0.085089878,0.080760342,0.512905125,-0.069134605,0.012404435
NDFF,0.188391393,0.13083254,0.040865233,0.053313876,0.029164935,0.019757677,-0.0840831,0.319116064,0.014127289
ORNL,0.130828414,0.128677993,0.032929357,0.032352303,0.031084335,0.010347279,0.014600539,0.133160404,0.003999092
PHAC,0.171623562,0.165950063,0.033705238,0.03075634,0.019730894,0.018205465,0.088701602,0.048527864,0.054523046
RHIN,0.168571774,0.142793614,0.025303817,0.046518881,0.034078692,0.011288333,0.358712243,-0.113024653,0.010408517
