Citations,References,Vol_FP,Country,Site,Experiment,Latitude,Longitude,Elevation(m),MAT(°C),MAP(mm),Wetness,Ecosystem,Community,Exp Type,Exp GCDFs,Treatment,eCO2F,eCO2+(ppm),eN dose,Variable,Unit,SamplingY,C_M,C_SE,C_SD,C_N,T_M,T_SE,T_SD,T_N
Andresen et al. 2009,"Andresen, L. C., Michelsen, A., Jonasson, S., Beier, C. & Ambus, P. Glycine uptake in heath plants and soil microbes responds to elevated temperature, CO2 and drought. Acta Oecologica 35, 786-796 (2009).",35-786,Denmark,"Brandbjerg, Copenhagen ",CLIMAITE-pooled_Nlow_AM,55.883°N,11.967°E,79,8.2,603,33.13,Grassland,,Single factor,eCO2,eCO2,FACE,130,,litter mass,g m-2,,637,79,193.51,6,875,280,685.86,6
Lagomarsino et al. 2013,"Lagomarsino, A., Lukac, M., Godbold, D. L., Marinari, S. & Angelis, P. Drivers of increased soil respiration in a poplar coppice exposed to elevated CO2. Plant Soil 362, 93-106 (2013).",362-93,Italy,"POP-EUROFACE, Viterbo",EUROFACE - alba_Nhigh_ECM,42.367°N,11.8°E,150,15.2,661,26.23,Forest,,Single factor,eCO2,eCO2,FACE,180,,litter mass,g m-2,2003,864,29,50.23,3,1026,33,57.16,3
Lagomarsino et al. 2013,"Lagomarsino, A., Lukac, M., Godbold, D. L., Marinari, S. & Angelis, P. Drivers of increased soil respiration in a poplar coppice exposed to elevated CO2. Plant Soil 362, 93-106 (2013).",362-93,Italy,"POP-EUROFACE, Viterbo",EUROFACE - alba_Nhigh_ECM,42.367°N,11.8°E,150,15.2,661,26.23,Forest,,Single factor,eCO2,eCO2,FACE,180,,litter mass,g m-2,2004,573,29,50.23,3,577,35,60.62,3
Schlesinger & Lichter 2001,"Schlesinger, W. H. & Lichter, J. Limited carbon storage in soil and litter of experimental forest plots under increased atmospheric CO2. Nature 411, 466-469 (2001).",411-466,USA,Duke Forest ,DUKE FACE_Nlow_ECM,35.867°N,79.996°W,163,15.5,1140,44.71,Forest,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,2000,1833.5,206.5,357.67,3,2359.6,32.4,56.12,3
Niklaus et al. 2001,"Niklaus, P. A., Leadley, P. W., Schmid, B. & Körner, Ch. A long-term field study on biodiversity × elevated CO2 interactions in grassland. Ecol. Monogr. 71, 341-356 (2001).",71-341,Switzerland,"Jura mountains , northwest Switzerland",Swiss Jura_Nlow_AM,47.55ºN,7.567ºE,520,2,885,73.75,Grassland,Low diversity,Single factor,eCO2,eCO2,OTC,244,,litter mass,g m-2,1998,47.3,13.51,33.1,6,47.78,13.51,33.1,6
Niklaus et al. 2001,"Niklaus, P. A., Leadley, P. W., Schmid, B. & Körner, Ch. A long-term field study on biodiversity × elevated CO2 interactions in grassland. Ecol. Monogr. 71, 341-356 (2001).",71-341,Switzerland,"Jura mountains , northwest Switzerland",Swiss Jura_Nlow_AM,47.55ºN,7.567ºE,520,2,885,73.75,Grassland,Mid diversity,Single factor,eCO2,eCO2,OTC,244,,litter mass,g m-2,1998,74.32,6.76,16.55,6,94.59,13.51,33.1,6
Niklaus et al. 2001,"Niklaus, P. A., Leadley, P. W., Schmid, B. & Körner, Ch. A long-term field study on biodiversity × elevated CO2 interactions in grassland. Ecol. Monogr. 71, 341-356 (2001).",71-341,Switzerland,"Jura mountains , northwest Switzerland",Swiss Jura_Nlow_AM,47.55ºN,7.567ºE,520,2,885,73.75,Grassland,High diversity,Single factor,eCO2,eCO2,OTC,244,,litter mass,g m-2,1998,40.54,13.51,33.1,6,60.81,13.51,33.1,6
Berendse et al. 2001,"Berendse, F. et al. Raised atmospheric CO2 levels and increased N deposition cause shifts in plant species composition and production in Sphagnum bogs. Global Change Biol. 7, 591-598 (2001).",7-591,Switzerland,La Chaux-des-Breuleux,,47.217°N,7.05°E,1068,5,1390,92.67,Wetland,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,,49.24,6.69,14.95,5,73.56,16.72,37.38,5
Berendse et al. 2001,"Berendse, F. et al. Raised atmospheric CO2 levels and increased N deposition cause shifts in plant species composition and production in Sphagnum bogs. Global Change Biol. 7, 591-598 (2001).",7-591,The Netherlands,Wageningen,,52.4°N,5.917°E,25,10.5,750,36.59,Wetland,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,,41.95,16.11,36.03,5,44.07,8.81,19.71,5
Berendse et al. 2001,"Berendse, F. et al. Raised atmospheric CO2 levels and increased N deposition cause shifts in plant species composition and production in Sphagnum bogs. Global Change Biol. 7, 591-598 (2001).",7-591,Sweden,"Kopparåsmyren, southern Sweden",,57.133°N,14.5°E,225,7,800,47.06,Wetland,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,,34.04,6.99,15.63,5,31.61,3.95,8.84,5
