"","ESA","MgSum","PercMean","PgSum"
"1","Boreal_Forest",846152388.750359,4.49615108575296,0.85
"2","Cropland",4880374265.02914,9.53141504874511,4.88
"3","Grassland",2513745444.75703,11.1373931932012,2.51
"4","Mixed",1011777668.35175,8.91632710000704,1.01
"5","Nodata",402519448.88258,8.73819590998842,0.4
"6","Other",495813626.229668,11.3111657116077,0.5
"7","Shrubland",757406715.328979,10.9435399545236,0.76
"8","Temperate_Forest",1778504110.8134,5.93300020232687,1.78
"9","Tropical_Forest",511908065.908432,10.4892248386702,0.51
